eval/info_performance_final,eval/info_normalized_performance_final,eval/eval_time,eval/best_episode_reward,eval/episode_reward,eval/episode,eval/mean_episode_reward,eval/info_normalized_performance_mean,eval/info_performance_mean,train/duration,train_critic/loss,train/batch_reward,train_actor/loss,train_actor/target_entropy,train_alpha/loss,train/info_performance_final,train/info_normalized_performance_mean,train/curl_loss,train/info_normalized_performance_final,train/episode,train/info_performance_mean,train_alpha/value,train/episode_reward,train_actor/entropy
0.09286077,0.026967252,75.22243666648865,39.39237671480243,26.55379862345765,0,30.00919141668669,0.015322302,0.08931464,,,,,,,,,,,,,,,
0.11652212,0.13871472,76.5138807296753,47.58251431332248,35.930316779220654,100,35.38395504219504,0.08654047,0.10553815,8.842535495758057,0.45220059156417847,0.3436204195022583,-26.974363327026367,-8,0.8496489524841309,0.074644856,0.053417463,0.20037469267845154,0.029563349,100,0.07885728,0.06559910821796577,32.053770631893954,10.370494842529297
0.105191804,0.04678301,72.73809003829956,45.56649252018493,34.090642004791384,200,34.594266270386015,0.043942302,0.10451922,9.280504941940308,0.7782360315322876,0.341310977935791,-39.028221130371094,-8,0.540153980255127,0.11011231,0.105619065,0.18915288150310516,0.12671031,200,0.10578097,0.041856795015705245,36.545109800584136,10.724080085754395
0.11782718,0.14429775,78.25769853591919,44.719035957278635,42.41698719797921,300,36.702901549043915,0.11817711,0.112102605,8.455077171325684,0.6774042248725891,0.3583572804927826,-41.05682373046875,-8,0.3236638903617859,0.071105585,0.07185722,0.025622470304369926,0.0436244,300,0.07448627,0.0268378547916743,40.12728361272069,10.08485221862793
0.10582092,0.108151235,76.17199110984802,43.55688202422322,33.90262072901712,400,35.17737847189694,0.08711815,0.10245262,9.072372913360596,0.7836848497390747,0.3638876676559448,-41.339622497558594,-8,0.17951750755310059,0.103922755,0.15323782,0.060956962406635284,0.13916852,400,0.10694865,0.01718439537614493,36.99845201153875,10.005778312683105
0.10940762,0.1046355,75.93907237052917,44.612135919821924,40.83199965413537,500,36.08107536455923,0.09943242,0.10892839,9.563080787658691,0.9744967222213745,0.34654343128204346,-39.89314270019531,-8,0.10862813889980316,0.09876917,0.05253618,0.13318049907684326,0.055530835,500,0.09801916,0.011156839131444756,29.232181544239335,9.805130958557129
0.106272936,0.17533319,72.57240676879883,49.38017891645458,41.79947260404174,600,38.87259042099444,0.13913561,0.10034302,9.440974712371826,0.43764230608940125,0.3634430170059204,-38.054405212402344,-8,0.0488240122795105,0.1213222,0.11536665,0.05308081582188606,0.12554725,600,0.1185985,0.007290613480048043,33.38231080289182,9.484188079833984
0.09057594,0.026285857,72.55138826370239,46.059197786869184,33.71541707183881,700,30.941335408224017,0.03975258,0.0928251,9.357859134674072,0.7010414600372314,0.366361528635025,-36.0623664855957,-8,0.0056527466513216496,0.0991899,-0.04041335,0.2497136890888214,-0.031341303,700,0.09715411,0.004891146491645099,29.38498643167629,9.73714542388916
0.09044574,0.073040165,70.09042382240295,41.512893414373,33.59640014830661,800,32.992587638176005,0.06650879,0.08916835,10.129975080490112,0.8680574893951416,0.37154603004455566,-36.074974060058594,-8,-0.011610789224505424,0.21582945,0.094073966,0.15161392092704773,0.3931182,800,0.13920666,0.003752850376076543,37.48885158799845,10.537348747253418
0.10686803,0.09274196,74.34492087364197,47.878169382091215,27.078524464724122,900,34.73396564508047,0.07986731,0.10407216,8.246066570281982,0.7764700651168823,0.3654288947582245,-35.01948165893555,-8,-0.004798615351319313,0.08027813,0.022387303,0.10017531365156174,0.023036381,900,0.08021211,0.003955353072134402,44.649486711807924,13.007509231567383
